words@lgp1960m	@lgp1960m	56.18	56.501	/
words@lgp1960m	@lgp1960m	56.501	56.822	/
words@lgp1960m	@lgp1960m	56.822	57.143	От
words@lgp1960m	@lgp1960m	57.143	57.464	того
words@lgp1960m	@lgp1960m	57.464	57.785	что
words@lgp1960m	@lgp1960m	57.785	58.106	/
words@lgp1960m	@lgp1960m	58.106	58.427	сколько
words@lgp1960m	@lgp1960m	58.427	58.748	уже
words@lgp1960m	@lgp1960m	58.748	59.069	/
words@lgp1960m	@lgp1960m	59.069	59.39	двенадцать
words@lgp1960m	@lgp1960m	59.39	59.711	лет
words@lgp1960m	@lgp1960m	59.711	60.032	разорваны
words@lgp1960m	@lgp1960m	60.032	60.353	дипломатические
words@lgp1960m	@lgp1960m	60.353	60.674	отношения
words@lgp1960m	@lgp1960m	60.674	60.995	/
words@lgp1960m	@lgp1960m	60.995	61.316	мне
words@lgp1960m	@lgp1960m	61.316	61.637	от
words@lgp1960m	@lgp1960m	61.637	61.958	этого
words@lgp1960m	@lgp1960m	61.958	62.279	ни
words@lgp1960m	@lgp1960m	62.279	62.6	горячо
words@lgp1960m	@lgp1960m	62.6	62.921	ни
words@lgp1960m	@lgp1960m	62.921	63.242	холодно
words@lgp1960m	@lgp1960m	63.242	63.563	/
words@lgp1960m	@lgp1960m	63.563	63.884	Я
words@lgp1960m	@lgp1960m	63.884	64.205	как
words@lgp1960m	@lgp1960m	64.205	64.526	ездил
words@lgp1960m	@lgp1960m	64.526	64.847	так
words@lgp1960m	@lgp1960m	64.847	65.168	и
words@lgp1960m	@lgp1960m	65.168	65.489	езжу
words@lgp1960m	@lgp1960m	65.489	65.81	/
words@lgp1960m	@lgp1960m	65.81	66.131	даже
words@lgp1960m	@lgp1960m	66.131	66.452	если
words@lgp1960m	@lgp1960m	66.452	66.773	прервано
words@lgp1960m	@lgp1960m	66.773	67.094	прямое
words@lgp1960m	@lgp1960m	67.094	67.415	авиасообщение
words@lgp1960m	@lgp1960m	67.415	67.736	/
words@lgp1960m	@lgp1960m	67.736	68.057	Оно
words@lgp1960m	@lgp1960m	68.057	68.378	до
words@lgp1960m	@lgp1960m	68.378	68.699	этого
words@lgp1960m	@lgp1960m	68.699	69.02	прерывалось
words@lgp1960m	@lgp1960m	69.02	69.341	тоже
words@lgp1960m	@lgp1960m	69.341	69.662	на
words@lgp1960m	@lgp1960m	69.662	69.983	шесть
words@lgp1960m	@lgp1960m	69.983	70.304	лет
words@lgp1960m	@lgp1960m	70.304	70.625	/
words@lgp1960m	@lgp1960m	70.625	70.946	я
words@lgp1960m	@lgp1960m	70.946	71.267	каждый
words@lgp1960m	@lgp1960m	71.267	71.588	год
words@lgp1960m	@lgp1960m	71.588	71.909	всё
words@lgp1960m	@lgp1960m	71.909	72.23	равно
words@lgp1960m	@lgp1960m	72.23	72.551	приезжал
words@lgp1960m	@lgp1960m	72.551	72.872	/
words@lgp1960m	@lgp1960m	72.872	73.193	/
words@lgp1960m	@lgp1960m	73.193	73.514	Так
words@lgp1960m	@lgp1960m	73.514	73.835	что
words@lgp1960m	@lgp1960m	73.835	74.156	в
words@lgp1960m	@lgp1960m	74.156	74.477	этом
words@lgp1960m	@lgp1960m	74.477	74.798	смысле
words@lgp1960m	@lgp1960m	74.798	75.119	я
words@lgp1960m	@lgp1960m	75.119	75.44	это
words@lgp1960m	@lgp1960m	75.44	75.761	не
words@lgp1960m	@lgp1960m	75.761	76.082	держу
